"Date","No.","Description","Debit","Credit"
"2/7/2020","","75360 POS PUR 02/06 22:30 HELLO BISTRO 250 UPPER SAINT C PA 45475360 07~5812","-14.4500",""
"2/6/2020","","PAYPAL INST XFER DROPBOX","-11.9900",""
"2/6/2020","","EPOCH EU LTD IAT PAYPAL 1007933170660","-9.9500",""
"2/5/2020","","0087 POS PUR 02/04 07:54 CHIPOTLE 2347 BRIDGEVILLE PA 00007773 000087 ~5814","-15.6300",""
"2/5/2020","","57115 POS PUR 02/04 15:15 EXXONMOBIL 47 WEST MIFFLIN PA 001 057115 ~5542","-35.3400",""
"2/5/2020","","71773 POS PUR 02/04 14:22 Amazon.com*PA3DN Amzn.com/bill WA 00000000 07~5942","-16.3400",""
"2/5/2020","","PAYPAL INST XFER SPOTIFYUSAI","-10.6900",""
"2/4/2020","","69163 POS PUR 02/03 17:19 APPLE.COM/BILL 866-712-7753 CA 00000000 06916~5735","-32.0900",""
"2/4/2020","","0004 POS PUR 02/03 16:40 MOE'S 938 BRIDGEVILLE PA 00A94759 000004 ~5814","-12.8400",""
"2/4/2020","","88401 POS PUR 02/03 16:31 PETSMART # 3001 PITTSBURGH PA 00007848 088401~5995","-34.0800",""
"2/4/2020","","70010 POS PUR 02/03 20:17 LA FELICE PIZZER PITTSBURGH PA 0000F5K9 07001~5814","-18.1800",""
"2/3/2020","","79644 POS PUR 01/31 04:19 GROUPON INC GROUPON.COM IL 00000000 079644 ~7299","-34.5000",""
"2/3/2020","","65456 POS PUR 01/31 04:38 FIVE GUYS PA 179 BRIDGEVILLE PA 64065456 0654~5814","-17.6300",""
"2/3/2020","","53579 RECURRING 02/02 23:11 APPLE.COM/BILL 866-712-7753 CA 00000000 05357~5735","-32.0900",""
"2/3/2020","","33902 POS PUR 02/02 11:03 GIANT-EAGLE #002 PITTSBURGH PA 00000000 03390~5411","-133.5300",""
"2/3/2020","","64340 POS PUR 02/03 01:43 USA*MICRO MARKET BRIDGEVILLE PA 00000000 0643~5999","-2.8800",""
"2/3/2020","","APPLECARD GSBANK PAYMENT 429666","-40.0000",""
"2/3/2020","","PAYPAL INST XFER STARBUCKS","-25.0000",""
"2/3/2020","","PAYPAL INST XFER CHEWY INC","-19.3300",""
"2/3/2020","","APPLECARD GSBANK PAYMENT 429666","-10.0000",""
"1/31/2020","","DEVELOPMENT DIME DIRECT DEP 537074039482MU9","","2129.6000"
"1/31/2020","","7420 POS PUR 01/30 09:48 HELLO BISTRO 250 UPPER SAINT C PA 47807420 00~5812","-11.2400",""
"1/29/2020","","22784 POS PUR 01/28 13:04 SUNOCO 000910170 PITTSBURGH PA 0009001 022784~5542","-37.5300",""
"1/28/2020","","0011 POS PUR 01/27 04:20 MOE'S 938 BRIDGEVILLE PA 00A94759 000011 ~5814","-14.1800",""
"1/28/2020","","8171 POS PUR 01/28 05:55 Amazon.com*041EW Amzn.com/bill WA 00000000 00~5942","-18.0100",""
"1/28/2020","","DISCOVER E-PAYMENT 9459","-47.0000",""
"1/28/2020","","PAYPAL INST XFER STARBUCKS","-15.0000",""
"1/27/2020","","80086 POS PUR 01/24 15:30 CLASSIC CHINESE BRIDGEVILLE PA 07732641 08008~5812","-11.0800",""
"1/27/2020","","7499 POS PUR 01/25 12:30 TARGET 00 PITTSBURGH PA 080 007499 ~5310","-75.1700",""
"1/27/2020","","7357 RECURRING 01/26 14:52 BANFIELD-PET*WPP 360-784-5000 WA 00000000 007~5968","-29.9500",""
"1/27/2020","","25295 POS PUR 01/26 16:25 Prime Video*LZ4O 888-802-3080 WA 00000000 025~5818","-10.5900",""
"1/27/2020","","1672 POS PUR 01/25 07:35 GIANT-EAGLE #002 Pittsburgh PA 25000600 67502~5411","-41.3200",""
"1/24/2020","","54612 RECURRING 01/23 21:04 AT&T*BILL PAYMEN 800-331-0500 TX 0001 054612 ~4814","-230.8300",""
"1/24/2020","","39442 POS PUR 01/23 11:43 STATE FARM INSU 800-956-6310 IL 0001 039442 ~6300","-125.8400",""
"1/24/2020","","98813 POS PUR 01/23 07:42 HELLO BISTRO 250 UPPER SAINT C PA 46198813 09~5812","-14.4500",""
"1/23/2020","","85343 POS PUR 01/22 07:53 CORELIFE 350 015 PITTSBURGH PA 02059451 08534~5812","-13.2700",""
"1/22/2020","","55612 POS PUR 01/22 23:47 Kindle Svcs*4K7W 866-321-8851 WA 00000000 055~5818","-10.5900",""
"1/22/2020","","17498 POS PUR 01/21 18:45 HELLO BISTRO 250 UPPER SAINT C PA 41917498 01~5812","-14.4500",""
"1/22/2020","","49563 POS PUR 01/21 19:39 MARATHON PETRO14 HEIDELBERG PA 01 049563 ~5542","-39.7400",""
"1/22/2020","","66162 POS PUR 01/22 22:12 AMZN Digital*1Z1 888-802-3080 WA 00000000 066~5818","-16.9500",""
"1/22/2020","","PAYPAL INST XFER WORDPRESS","-18.0000",""
"1/21/2020","","15051 POS PUR 01/18 05:51 COMCAST THREE CS 800-266-2278 PA 00000000 015~4899","-108.8600",""
"1/21/2020","","50031 POS PUR 01/17 18:58 MOE'S SW GRILL # WEXFORD PA 00215815 050031 ~5814","-12.0400",""
"1/21/2020","","12179 POS PUR 01/18 08:18 KICKSTARTER NEW 9292244943 FL 00000000 012179~5945","-79.0000",""
"1/21/2020","","22257 POS PUR 01/18 08:51 INDIEGOGO* AIR D HONG KONG HK ICOP1YXL 022257~5734","-27.0600",""
"1/21/2020","","35759 POS PUR 01/19 18:14 SPORT CLIPS - PA PITTSBURGH PA 62935759 03575~7230","-72.2600",""
"1/21/2020","","23107 POS PUR 01/19 06:04 BRUEGGERS #3727 PITTSBURGH PA 43423107 023107~5814","-18.8800",""
"1/21/2020","","0029 POS PUR 01/20 20:42 MOE'S 938 BRIDGEVILLE PA 00A94759 000029 ~5814","-12.8400",""
"1/21/2020","","15503 POS PUR 01/17 19:44 GIANT-EAGLE #002 Pittsburgh PA 25000700 87137~5411","-176.4800",""
"1/21/2020","","AFI ALLY PAYMT 628929205896","-425.9500",""
"1/21/2020","","LENDING CLUB 8885963157 T1099420802","-105.6800",""
"1/21/2020","","APPLECARD GSBANK PAYMENT 429666","-100.0000",""
"1/21/2020","","PAYPAL INST XFER STARBUCKS","-25.0000",""
"1/21/2020","","PAYPAL INST XFER NETFLIX.COM","-13.9000",""
"1/21/2020","","PAYPAL INST XFER DISNEY PLUS","-7.4800",""
"1/17/2020","","DEVELOPMENT DIME DIRECT DEP 630051007798MU9","","2129.6300"
"1/17/2020","","48968 BILLPAY 01/17 05:53 DuquesneLight Pittsburgh PA D00933 0017276800~4900","-159.3300",""
"1/16/2020","","21224 RECURRING 01/16 06:22 LA FITNESS 949-255-7200 CA 00000000 021224 ~7997","-29.9500",""
"1/15/2020","","10041 POS PUR 01/13 15:23 PPAP MELLON SQ G PITTSBURGH PA 00455184 01004~7523","-6.0000",""
"1/14/2020","","58973 POS PUR 01/12 19:52 WEST VIEW LASER PITTSBURGH PA 00000000 058973~7542","-10.0000",""
"1/14/2020","","3158 POS PUR 01/13 18:27 AMZN Mktp US*GX7 Amzn.com/bill WA 00000000 00~5942","-26.4900",""
"1/14/2020","","0011 POS PUR 01/13 13:09 MOE'S 938 BRIDGEVILLE PA 00A94759 000011 ~5814","-12.0400",""
"1/14/2020","","COMENITY PAY AC WEB PYMT P20011336651979","-46.0000",""
"1/14/2020","","NINTENDO IAT PAYPAL 1007722947518","-4.2300",""
"1/13/2020","","16277 POS PUR 01/11 14:49 ASAP TECHNOLOGIE 7734313139 DE 00000000 01627~5732","-46.8000",""
"1/13/2020","","13547 POS PUR 01/11 06:35 STARBUCKS 800-782-7282 WA 00000000 013547 ~5814","-15.0000",""
"1/13/2020","","58162 POS PUR 01/10 05:13 TST* MINTT PITTSBURGH PA 60358162 058162 ~5812","-12.6900",""
"1/13/2020","","98149 POS PUR 01/11 22:49 EAT_N_PARK #0003 PITTSBURGH PA 45098149 09814~5812","-46.9700",""
"1/13/2020","","62218 POS PUR 01/12 06:43 IHOP#3403 PITTSBURGH PA 05567921 062218 ~5812","-56.8400",""
"1/13/2020","","66893 POS PUR 01/12 11:45 AMZN Digital*J26 888-802-3080 WA 00000000 066~5818","-6.3500",""
"1/13/2020","","44623 POS PUR 01/12 05:15 SUNOCO 036301420 PITTSBURGH PA 0363003 044623~5542","-38.7900",""
"1/13/2020","","41477 POS PUR 01/12 06:38 CONTAINERSTOREPI PITTSBURGH PA 00000000 04147~5999","-42.7900",""
"1/13/2020","0000000616","Check","-1155.0000",""
"1/10/2020","","21171 POS PUR 01/09 18:32 HELLO BISTRO 250 UPPER SAINT C PA 46021171 02~5812","-14.4500",""
"1/10/2020","","50945 POS PUR 01/09 18:20 GIANT-EAGLE #002 Pittsburgh PA 25000800 13142~5411","-89.8200",""
"1/9/2020","","14267 POS PUR 01/09 23:39 GRUBHUBLAFELICEP GRUBHUB.COM NY 00000000 0142~5812","-51.1400",""
"1/9/2020","","0005 POS PUR 01/08 04:01 CAMP BOW WOW PITTSBURGH PA 05324617 000005 ~7299","-20.0000",""
"1/9/2020","","60338 POS PUR 01/08 02:07 AMZ*Comics by co support@comix NY 00000000 06~5192","-3.5900",""
"1/9/2020","","77180 POS PUR 01/09 12:51 Audible US*NH7MC 888-283-5051 NJ 00000000 077~5968","-15.8500",""
"1/9/2020","","166354 PIN PUR 01/08 19:01 PETSMART # 3001 PITTSBURGH PA 08997848 166354~5995","-26.6000",""
"1/8/2020","","56796 POS PUR 01/07 18:27 BLAZE PIZZA #132 BRIDGEVILLE PA 79556796 0567~5812","-12.8200",""
"1/7/2020","","36746 POS PUR 01/06 13:49 SUNOCO 036301420 PITTSBURGH PA 0363003 036746~5542","-36.7600",""
"1/7/2020","","0015 POS PUR 01/06 19:28 MOE'S 938 BRIDGEVILLE PA 00A94759 000015 ~5814","-11.5600",""
"1/6/2020","","39163 POS PUR 01/03 18:15 MCDONALD'S F1215 PITTSBURGH PA 1 039163 ~5814","-7.7000",""
"1/6/2020","","35581 POS PUR 01/06 09:55 SUBWAY 00 PITTSBURGH PA 001 035581 ~5814","-8.7600",""
"1/6/2020","","21939 POS PUR 01/04 19:45 APPLE.COM/BILL 866-712-7753 CA 00000000 02193~5735","-13.9000",""
"1/6/2020","","28413 POS PUR 01/04 12:52 OLIVE GARDEN 00 PITTSBURGH PA 00000000 028413~5812","-42.3700",""
"1/6/2020","","36389 POS PUR 01/04 10:36 SUBWAY 00 PITTSBURGH PA 001 036389 ~5814","-8.7600",""
"1/6/2020","","604965 PIN PUR 01/03 19:25 PETSMART # 3001 PITTSBURGH PA 08997847 604965~5995","-57.6300",""
"1/6/2020","","953255 PIN PUR 01/03 19:38 ALDI 69069 PITTSBURG PA 89021002 953255 ~5411","-51.8800",""
"1/6/2020","","APPLECARD GSBANK PAYMENT 429666","-50.0000",""
"1/6/2020","","PAYPAL INST XFER DROPBOX","-11.9900",""
"1/6/2020","","PAYPAL INST XFER SPOTIFYUSAI","-10.6900",""
"1/6/2020","","EPOCH EU LTD IAT PAYPAL 1007654370730","-9.9500",""
"1/6/2020","","AARON KLEIN IAT PAYPAL 1007649201911","-5.0100",""
"1/3/2020","","DEVELOPMENT DIME DIRECT DEP 698081117626MU9","","2125.2800"
"1/2/2020","","78903 POS PUR 12/31 02:14 WALGREENS #09950 CARNEGIE PA 00000000 078903 ~5912","-7.4800",""
"1/2/2020","","52579 POS PUR 12/31 03:04 MCDONALD'S F1215 PITTSBURGH PA 1 052579 ~5814","-7.7000",""
"1/2/2020","","0006 POS PUR 01/01 19:56 KFC J625164 WEST VIEW PA 00009946 000006 ~5814","-25.8800",""
"12/31/2019","","Apple Cash TRANSFER Andrew Allshou","","6.5400"
"12/31/2019","","20189 POS PUR 12/30 20:40 INDIEGOGO*CAMPAI HTTPSWWW.INDI CA 00000000 02~5734","-35.0000",""
"12/31/2019","","0807 POS PUR 12/30 19:46 0163 FIRST WATCH BRIDGEVILLE PA 01799083 0008~5812","-14.2200",""
